,title,price,url,source
37,Sword & Shield - Astral Radiance - Booster Box (36 Boosters),129.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-astral-radiance-booster-box-36-boosters,TotalCards
38,Mystery Card Bundle - Guaranteed ex Card (2023),7.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mystery-card-bundle-guaranteed-ex-card-2023,TotalCards
39,Scarlet & Violet - Black Bolt - Booster Pack,10.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-black-bolt-booster-pack,TotalCards
40,Sword & Shield - Rebel Clash - Booster Pack,10.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-rebel-clash-booster-pack,TotalCards
41,Scarlet & Violet - White Flare - Booster Pack,10.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-white-flare-booster-pack,TotalCards
42,Sword & Shield - Fusion Strike - Elite Trainer Box,79.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-fusion-strike-elite-trainer-box,TotalCards
43,Scarlet & Violet - Surging Sparks - Booster Pack,9.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-surging-sparks-booster-pack,TotalCards
44,Celebrations - Pikachu VMAX Premium Figure Collection,199.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-celebrations-pikachu-vmax-premium-figure-collection,TotalCards
45,Sword & Shield - Ultra Premium Collection - Charizard,389.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-ultra-premium-collection-charizard,TotalCards
46,Sword & Shield - Lost Origin - Elite Trainer Box,149.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-lost-origin-elite-trainer-box,TotalCards
47,Shining Fates - Premium Collection -  Shiny Crobat VMAX,89.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-premium-collection-shiny-crobat-vmax,TotalCards
48,Scarlet & Violet - Stellar Crown - Booster Pack,7.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-stellar-crown-booster-pack,TotalCards
49,Scarlet & Violet - 151 - Ultra Premium Collection,149.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-ultra-premium-collection,TotalCards
50,Scarlet & Violet - 151 - Alakazam ex Collection,33.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-alakazam-ex-collection,TotalCards
51,"Sword & Shield - Evolving Skies - Elite Trainer Box - Leafeon, Umbreon, Jolteon & Flareon",199.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-evolving-skies-elite-trainer-box-leafeon-umbreon-jolteon-flareon,TotalCards
52,"Sword & Shield - Evolving Skies - Elite Trainer Box - Sylveon, Espeon, Glaceon & Vaporeon",199.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-evolving-skies-elite-trainer-box-sylveon-espeon-glaceon-vaporeon,TotalCards
53,Scarlet & Violet - Base Set - Elite Trainer Box - Miraidon,42.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-base-set-elite-trainer-box-miraidon,TotalCards
54,Scarlet & Violet - Base Set - Elite Trainer Box - Koraidon,42.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-base-set-elite-trainer-box-koraidon,TotalCards
55,Hoopa V Box,21.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-hoopa-v-box,TotalCards
56,Celebrations - Pikachu V-Union Special Collection,145.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-celebrations-pikachu-v-union-special-collection,TotalCards
57,Shining Fates - Premium Collection -  Shiny Dragapult VMAX,89.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-premium-collection-shiny-dragapult-vmax,TotalCards
58,Scarlet & Violet - Twilight Masquerade - Booster Pack,7.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-twilight-masquerade-booster-pack,TotalCards
59,Pokemon Go - Premier Deck Holder Collection - Dragonite VSTAR,49.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pokemon-go-premier-deck-holder-collection-dragonite-vstar,TotalCards
60,Scarlet & Violet - 151 - Zapdos ex Collection,34.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-zapdos-ex-collection,TotalCards
61,Sword & Shield - Brilliant Stars - Booster Pack,11.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-brilliant-stars-booster-pack,TotalCards
62,Scarlet & Violet - Surging Sparks - Booster Box (36 Boosters),164.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-surging-sparks-booster-box-36-boosters,TotalCards
63,Scarlet & Violet - Black Bolt & White Flare - Unova Poster Collection,34.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-black-bolt-white-flare-unova-poster-collection,TotalCards
64,Scarlet & Violet - 151 - Booster Pack,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-booster-pack,TotalCards
65,Shining Fates - Eldegoss V Tin,59.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-eldegoss-v-tin,TotalCards
66,Sword & Shield - Crown Zenith - Regidrago V Collection,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-regidrago-v-collection,TotalCards
67,Scarlet & Violet - 151 - Poster Collection,16.75,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-poster-collection,TotalCards
68,Sword & Shield - Crown Zenith - Regieleki V Collection,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-regieleki-v-collection,TotalCards
69,Shining Fates - Boltund V Tin,59.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-boltund-v-tin,TotalCards
70,Scarlet & Violet - Temporal Forces - Booster Box (36 Boosters),144.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-temporal-forces-booster-box-36-boosters,TotalCards
71,Arceus V Figure Collection,69.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-arceus-v-figure-collection,TotalCards
